,Type,Well-behavedness,Formula,Baseline,RantaI,RantaII,Translation 1,Translation 2,Translation 3
21,GGC,WB,∃ v ( Dodec ( v ) ∧ ¬ Large ( v ) ),There is an element v such that v is a dodecahedron and it is not the case that v is large.,There is a dodecahedron v such that v is not large.,It is not the case that every dodecahedron is large.,RantaII,Baseline,RantaI
22,GGC,WB,∃ u ( ¬ ( Large ( u ) ∨ Small ( u ) ) ∧ Dodec ( u ) ),There is an element u such that it is not the case that u is large or u is small and u is a dodecahedron.,There is an element u such that it is not the case that u is large or small and u is a dodecahedron.,It is not the case that every dodecahedron is small or large.,Baseline,RantaII,RantaI
23,GGC,WB,"∀ y ( ¬ ∃ x FrontOf ( x , y ) → Large ( y ) )","For all y, if it is not the case that there is an element x such that x is in front of y, then y is large.","For all y, if it is not the case that there is an element x such that x is in front of y, then y is large.","For all y, y is large or something is in front of y.",RantaI,RantaII,Baseline
24,GGC,WB,"∀ x ( Dodec ( x ) → RightOf ( x , a ) )","For all x, if x is a dodecahedron, then x is to the right of a.",Every dodecahedron is to the right of a.,Every dodecahedron is to the right of a.,RantaI,Baseline,RantaII
25,GGC,NWB,"∀ x ∃ y ( ¬ ∃ z ( Dodec ( x ) → RightOf ( z , x ) ) → LeftOf ( y , x ) )","For all x, there is an element y such that if it is not the case that there is an element z such that if x is a dodecahedron, then z is to the right of x, then y is to the left of x.","For all x, there is an element y such that if it is not the case that there is an element z such that if x is a dodecahedron, then z is to the right of x, then y is to the left of x.","For all x, x is not a dodecahedron, something is to the right of x or something is to the left of x.",RantaI,Baseline,RantaII
26,GGC,WB,"∀ x ( Cube ( x ) → ∀ y ¬ RightOf ( x , y ) )","For all x, if x is a cube, then for all y, it is not the case that x is to the right of y.","For all cubes x, for all y, x is not to the right of y.",Every cube is to the right of nothing.,RantaI,RantaII,Baseline
27,GGC,NWB,"¬ ∃ x ∀ y ( ¬ FrontOf ( y , x ) ∧ ¬ Tet ( x ) )","It is not the case that there is an element x such that for all y, it is not the case that y is in front of x and it is not the case that x is a tetrahedron.","It is not the case that there is an element x such that for all y, y is not in front of x and x is not a tetrahedron.","For all x, there is an element y such that y is in front of x or x is a tetrahedron.",RantaII,RantaI,Baseline
28,GGC,WB,"LeftOf ( f , b ) ∧ LeftOf ( a , f )",F is to the left of b and a is to the left of f.,F is to the left of b and a is to the left of f.,F is to the left of b and a is to the left of f.,Baseline,RantaII,RantaI
29,GGC,WB,"∃ x ∃ y ∃ z ( Tet ( x ) ∧ Tet ( y ) ∧ Tet ( z ) ∧ ¬ ( SameCol ( x , y ) ∧ SameCol ( y , z ) ) )",There is an element x such that there is an element y such that there is an element z such that x is a tetrahedron and y is a tetrahedron and z is a tetrahedron and it is not the case that x is in the same column as y and y is in the same column as z.,"There is an element x such that there is an element y such that there is an element z such that x is a tetrahedron, y is a tetrahedron, z is a tetrahedron and it is not the case that x is in the same column as y and y is in the same column as z.","There is an element x such that there is an element y such that there is a tetrahedron z such that it is not the case that x is in the same column as y and y is in the same column as z, x is a tetrahedron and y is a tetrahedron.",Baseline,RantaII,RantaI
30,GGC,WB,"∀ x ( SameCol ( x , a ) ∨ SameCol ( b , x ) ∨ SameCol ( x , c ) )","For all x, x is in the same column as a or b is in the same column as x or x is in the same column as c.","For all x, x is in the same column as a, b is in the same column as x or x is in the same column as c.","For all x, x is in the same column as a, b is in the same column as x or x is in the same column as c.",RantaI,RantaII,Baseline
21,RG,WB,"∀ x ( Student ( x ) ∨ Dodec ( a ) ) ∨ ∀ y ( Even ( a ) ∨ BackOf ( y , b ) )","For all x, x is a student or a is a dodecahedron or for all y, a is even or y is in back of b.","For all x, x is a student or a is a dodecahedron or for all y, a is even or y is in back of b.","For all x, x is a student or a is a dodecahedron or for all y, a is even or y is in back of b.",Baseline,RantaII,RantaI
22,RG,NWB,"∀ x ( ∃ x RightOf ( x , a ) → ( Smaller ( b , x ) → Large ( a ) ) )","For all x, if there is an element x such that x is to the right of a, then if b is smaller than x, then a is large.","For all x, if there is an element x such that x is to the right of a, then if b is smaller than x, then a is large.","B is smaller than nothing, a is large or nothing is to the right of a.",RantaI,Baseline,RantaII
23,RG,WB,"∃ x ¬ SameShape ( x , a )",There is an element x such that it is not the case that x is of the same shape as a.,There is an element x such that x is not of the same shape as a.,It is not the case that everything is of the same shape as a.,Baseline,RantaI,RantaII
24,RG,NWB,∃ x ( ∃ y Tet ( y ) ∨ Even ( a ) ),There is an element x such that there is an element y such that y is a tetrahedron or a is even.,There is an element x such that there is an element y such that y is a tetrahedron or a is even.,Something is a tetrahedron or a is even.,Baseline,RantaII,RantaI
25,RG,NWB,"SameRow ( a , a ) ∧ ( ∃ x Cube ( b ) ∨ ( Larger ( a , c ) ∨ Person ( c ) ) )",A is in the same row as a and there is an element x such that b is a cube or a is larger than c or c is a person.,"All these hold : \n\t• a is in the same row as itself \n\t• there is an element x such that b is a cube, a is larger than c or c is a person.","All these hold : \n\t• a is in the same row as itself \n\t• b is a cube, a is larger than c or c is a person.",RantaI,RantaII,Baseline
26,RG,NWB,"¬ ( ¬ SameRow ( a , b ) ∧ ∀ x Larger ( a , c ) )","It is not the case that it is not the case that a is in the same row as b and for all x, a is larger than c.","It is not the case that a is not in the same row as b and for all x, a is larger than c.",A is in the same row as b or a is not larger than c.,Baseline,RantaI,RantaII
27,RG,NWB,"¬ ( ( Smaller ( a , a ) ∨ LeftOf ( b , b ) ) ∧ ∀ x Cube ( a ) )","It is not the case that a is smaller than a or b is to the left of b and for all x, a is a cube.","It is not the case that all these hold : \n\t• a is smaller than itself or b is to the left of itself \n\t• for all x, a is a cube.","If a is smaller than itself or b is to the left of itself, then a is not a cube.",RantaII,RantaI,Baseline
28,RG,NWB,∃ x ( Medium ( a ) ∨ Prime ( a ) ) → ∀ y ¬ Tet ( y ),"If there is an element x such that a is medium or a is a prime, then for all y, it is not the case that y is a tetrahedron.","If there is an element x such that a is medium or a is a prime, then for all y, y is not a tetrahedron.","If a is a prime or a is medium, then nothing is a tetrahedron.",Baseline,RantaI,RantaII
29,RG,NWB,∀ x ∃ y Medium ( a ) ∨ ∃ x ∀ z Tet ( b ),"For all x, there is an element y such that a is medium or there is an element x such that for all z, b is a tetrahedron.","For all x, there is an element y such that a is medium or there is an element x such that for all z, b is a tetrahedron.",B is a tetrahedron or a is medium.,RantaII,Baseline,RantaI
30,RG,NWB,∃ x Prime ( x ) ∧ ∃ x ( Prime ( a ) ∨ Cube ( a ) ),There is an element x such that x is a prime and there is an element x such that a is a prime or a is a cube.,There is an element x such that x is a prime and there is an element x such that a is a prime or a is a cube.,All these hold : \n\t• something is a prime \n\t• a is a prime or a is a cube.,RantaI,Baseline,RantaII
